id,genre,track_name,artist_name,valence,energy
5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.627,0.849
2lFTzUnuGaWlWHJQokjRyb,acoustic,Blue Jeans,Lana Del Rey,0.488,0.837
6MDTpYxPFL0wtFd0pjfKws,acoustic,Rhythm Of Love,Plain White T's,0.726,0.542
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248
6IN5LJsJQNPwzkytnTtrJC,acoustic,The Violet Hour,The Civil Wars,0.166,0.18
6FVuzVYUdbPBJr6kuxgNGs,acoustic,Mirrors (feat. Fifth Harmony),Boyce Avenue,0.702,0.658
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217
33DxDFhE06bRC5tdHkIxhj,acoustic,Gårdakvarnar och skit,Håkan Hellström,0.547,0.59
4Sx182teh6ZFTko3z4e0Jj,acoustic,Hear the Noise That Moves So Soft and Low,James Vincent McMorrow,0.384,0.38
0nJW01T7XtvILxQgC5J7Wh,acoustic,When I Was Your Man,Bruno Mars,0.387,0.28
45OfPYbQJEMq0kvKY5Yk4u,acoustic,Fall At Your Feet,Various Artists,0.141,0.512
6HJujxcjMmVZhd8z5EpPri,acoustic,Where Did You Sleep Last Night,Nirvana,0.344,0.565
65n5737O8JVOzgy8wQawyi,acoustic,All That Matters,Justin Bieber,0.17,0.521
5JTfeJV7rM0Ku4Yg2boOhz,acoustic,Serpentine - Radio Edit,Chris Bathgate,0.149,0.146
3dTGR2oQA1XaC850o5oPdK,acoustic,Hotel California,Eagles,0.595,0.496
6WVtfUA8r0iYmQotCRVp2J,acoustic,Bette Davis Eyes,Karen Souza,0.177,0.319
0v913JHU9h91rxpuDUNJxR,acoustic,Skyscraper (feat. Megan Nicole),Boyce Avenue,0.427,0.337
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.137,0.352
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.473,0.452
1PUh1GENlvlgu0dW28I6tY,acoustic,"Hello, I'm In Delaware",City and Colour,0.388,0.458
0Cll7d8lmNn05ZOVm5l5va,acoustic,Over The Rainbow/What A Wonderful World,Various Artists,0.661,0.16
79HX4cwBZp0Vznh0APDwk3,acoustic,Pärlor,Carolina Wallin Pérez,0.435,0.29
0FwkLxm84A5P3YNlZzfM0J,acoustic,One Love,Justin Bieber,0.206,0.622
6TEmlzEgTXmV0yhD81USP1,acoustic,Ordinary People - Live,John Legend,0.372,0.163
78xbGcjmm02TCbhsMJsuUn,acoustic,In the Morning,Keaton Henson,0.227,0.17
2QaaXYzEzLio3POCFCI19r,acoustic,Machines,Biffy Clyro,0.31,0.337
54JkQYApvJ6oan1kpJRKVS,acoustic,Wonderful World,Various Artists,0.596,0.679
3cnRYoW4nYzIuVPCp7k5iG,acoustic,Breakdown,Jack Johnson,0.443,0.394
5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.292
4otHnPszGCLCH6zB5yq5lw,acoustic,Calgary,Bon Iver,0.0768,0.46
10FsLlEMV60mFgzZHpEmQb,acoustic,Old Pine - EP Version,Ben Howard,0.278,0.354
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532
0VRWmkhxjjERPMMbZEOcDo,acoustic,Send Me on My Way,Various Artists,0.768,0.682
1KqlVt63Q4bl1VdSlymr5C,acoustic,Riptide,Vance Joy,0.51,0.731
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415
5z1vCywwTJAP8qSkGJymFY,acoustic,Creep - Live,Korn,0.236,0.534
4E0lSJ6c5unoku9UIZoJSl,acoustic,Dust in the Wind,Kansas,0.419,0.251
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.44,0.536
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,0.246,0.267
6G0MfBXF1QlLpgP8pKngzs,acoustic,Shoreline - Radio Version,Anna Ternheim,0.201,0.108
2FGb3gJbKToDII7q6Kfp4i,acoustic,I'm Yours,Ron Pope,0.866,0.553
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
7noCkklUhEAoj8GJkbAuHq,acoustic,All of Me,Boyce Avenue,0.308,0.209
6mM3zAPOuNkNDytJCDGz96,acoustic,Naïve - BBC Radio 1's Jo Whiley's Live Lounge,Lily Allen,0.43,0.258
0vWjNkwgkTnyzfeLdTKWJ7,acoustic,Roar,Alex Goot,0.425,0.394
2bbhyUWJ5VjdfI3P4PRLu2,acoustic,Samson,Regina Spektor,0.184,0.193
3guR6HQDbOhJq5r3AcEgBE,acoustic,Erase and Detach,Isbells,0.0927,0.0301
7hR5toSPEgwFZ78jfHdANM,acoustic,Half of My Heart,John Mayer,0.731,0.593
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847
5pgW3hUOrf7LoAv1iW0q4n,acoustic,"Cosmic Love - MTV Unplugged, 2012",Florence + The Machine,0.208,0.682
3GEKqgBUD2WQIsuVBv9rU0,acoustic,American Boy - Radio 1 Live Lounge,Sam Sparro,0.637,0.564
4UE2pdunsfhZPJNPFGQCol,acoustic,With Or Without You (feat. Kina Grannis),Boyce Avenue,0.114,0.288
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373
7DFNE7NO0raLIUbgzY2rzm,acoustic,Let Her Go,Passenger,0.244,0.538
6WlS5FP9XcB410zta3C67v,acoustic,Flume,Bon Iver,0.0812,0.146
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,0.573,0.786
3SktMqZmo3M9zbB7oKMIF7,acoustic,Gravity,John Mayer,0.237,0.326
1MQTPiAPGHdMFVYUYWGOb3,acoustic,Happy,Gardiner Sisters,0.938,0.758
3fCJRE4P1uU8dcqEW5mnM6,acoustic,Staple It Together,Jack Johnson,0.786,0.794
5ydPIlHBSV0w2Mo2ichlmR,acoustic,If You're Not The One,Various Artists,0.306,0.5
4BBFEhlXWJhNvQYT8Ozqq9,acoustic,I Will Be Blessed,Ben Howard,0.336,0.345
6d0wEqM0jJTNv1asKflGGi,acoustic,Take Me to Church - Live From Spotify London,Hozier,0.287,0.217
1LiteNBpuy5ltDtESG1rmr,acoustic,Feel the Same,Joshua James,0.261,0.562
3KZG39hHZiQrxFGLUaeWPb,acoustic,Distant Sun,Various Artists,0.331,0.611
2r07lezrHUPEuhhBYW9JnC,acoustic,World Spins Madly On,The Shirelles,0.337,0.361
5xZV3jkOFbKLH7ywEqGORA,acoustic,Gone,The Show Ponies,0.582,0.666
0wU0Ocoi0K4dln92uqwPPH,acoustic,Starships - BBC Live Version,Conor Maynard,0.378,0.251
0VZ9xPNa6ROafP6GYYuv2S,acoustic,Marry Me,Train,0.492,0.269
6EGlya6vCQzo3PdutOJEJP,acoustic,Your Song,Calle Kristiansson,0.208,0.355
4nVBt6MZDDP6tRVdQTgxJg,acoustic,Story of My Life,One Direction,0.286,0.663
6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),Boyce Avenue,0.44,0.44
